LegacyId|Grade|Category|Description|Objective|Number
3.3.6|7|11|"Able to coach, encourage and mentor junior staff to help them grow in a professional IT service environment."|"<ol><li>Formally take on a junior member of staff as a mentee.</li><li>Assess mentee competencies against the framework on collaboration with their line manager.</li><li>Identify strategies to help your mentee develop missing competencies over a 6-12 month period based on your own experiences.</li><li>Throughout the mentoring relationship, act as a sounding board for the mentee to ensure they are learning to help themselves rather than simply looking for direct instruction on what to do when faced with problems and ensure that meetings are documented.</li><li>Assess the mentee against the targeted competencies at the end of the mentoring to establish their growth and development to demonstrate the competency.</li></ol>"|11
3.3.7.a|7|11|Able to lead preparation of adverts for recruitment.|<ol><li>Take an existing advert template and customise the content to ensure it is suitable for the role yet tailored to the needs of the department for that vacancy.</li><li>Ensure the advert meets any required word limits and is free from language that may bias or reduce its universal appeal.</li><li>Develop screening questions based on the person specification to facilitate easy shortlisting.</li><li>Share the advert with proposed panel for comment.</li><li>Complete for at least one recruitment activity to demonstrate competence.</li></ol>|12
3.3.7.b|7|11|Able to lead preparation and completion of shortlisting grids for recruitment.|<ol><li>Take an existing shortlisting grid template and customise the content to ensure it is suitable for the role yet tailored to the needs of the department for that vacancy.</li><li>Ensure the shortlisting grid aligns with the screening questions.</li><li>Share the shortlisting grid with the panel.</li><li>Develop a shortlisting grid summary table to calculate the mean and standard deviation of the panel scores to facilitate objective assessment.</li><li>Complete for at least one recruitment activity to demonstrate competence.</li></ol>|13
3.3.7.c|7|11|Able to lead conducting interviews and completion of interview assessments for recruitment.|<ol><li>Take an existing interview grid template and customise the content to ensure it is suitable for the role yet tailored to the needs of the department for that vacancy.</li><li>Ensure the interview grid contains questions which add value to the assessment of the individual and do not duplicate shortlisting criteria.</li><li>Develop task-based assessments as required that test the practical skills of the candidates in a controlled environment effectively.</li><li>Evaluate the effectiveness of the tasks and suggest improvements where necessary for future interviews.</li><li>Develop an interview grid summary table to calculate the mean and standard deviation of the panel scores to facilitate objective assessment.</li><li>Complete for at least one recruitment activity to demonstrate competence.</li></ol>|14
3.3.7.d|7|11|Able to lead completion of administration around new staff appointments and onboarding for recruitment.|"<ol><li>Submit a RRAR using the form on One IT, attaching the relevant paperwork and completing the relevant documentation to support the post approval.</li><li>Oversee the development of the relevant forms and assessment tools.</li><li>Contact IT Resource team with the advert, screening questions, RRAR approval and relevant details to have the job uploaded to JobTrain.</li><li>Review the JobTrain advert when ready and go live.</li><li>At each stage of the recruitment process, update JobTrain with the statuses for each candidate, sending emails automatically where appropriate.</li><li>Use JobTrain or Outlook to schedule interviews ensuring they are private appointments and contain an appropriate briefing for the candidate using the email templates available on the RSE Leadership SharePoint.</li><li>Chair interviews and facilitate panel discussions to decide on appointable candidates.</li><li>Contact P&OD and IT Resource as necessary to inform of decisions and update JobTrain statuses as appropriate.</li><li>Submit Offer Authorisation and New Appointment Forms through JobTrain, handling visa requirements or salary negotiations as necessary.</li><li>Chair and lead as above for at least one recruitment activity to demonstrate competence.</li></ol>"|15
3.4.1|7|12|Able to clearly understand and explain the scope and purpose of owned services or projects.|Yet to be agreed|1
3.4.2.a|7|12|Able to demonstrate satisfactory completion of TSLD11 Project Management - Practitioner Level.|"<ol><li>Attend the TSLD11 Project Management - Practitioner Level course.</li><li>Use the knowledge and skills learnt during the course and evaluate its usefulness for your role, discussing in your 1-2-1s.</li></ol>"|2
3.4.2.b|7|12|Able to demonstrate satisfactory completion of RSE Agile Project Management (Scrum Master Role).|<ol><li>Attend the RSE Agile Project Management course in a team leader role to practice agile project management and reporting as well as agile development.</li><li>Provide feedback on the training day to the organisers.</li><li>Use the knowledge and skills learnt during the day in all projects in your portfolio and in your project work to embody agile development best practice as a habit.</li></ol>|3
3.4.3.a|7|12|"Able to collect, interpret and present data to quantify key project or service metric of progress against deliverables."|"<ol><li>Use the GitHub issue tracker and custom fields to give issues a size (e.g. story points or T-shirt sizes).</li><li>Use exports of GitHub issues from the project to track the volume of work completed per sprint demonstrate tracking of team velocity.</li><li>When using CapX, use the timesheet system to sum up actual hours booked against a particular project and update the appropriate task field on CapX.</li><li>Interpret the graph on the project details pages of CapX to know whether your project is running ahead or behind.</li><li>Actively maintain data and reporting in GitHub and CapX to demonstrate competence.</li></ol>"|4
3.4.3.b|7|12|"Able to collect, interpret and present data to quantify key project or service metric of demand vs capacity."|"<ol><li>Use the GitHub issue tracker and custom fields to give issues a size (e.g. story points or T-shirt sizes).</li><li>Ensure available resources are given an estimated capacity in story points per week (or similar).</li><li>Collectively for the project and or service portfolio, aggregate data for the planned sprints to provide a short-term estimate of demand versus capacity.</li><li>Plot the data over a suitable future window to highlight any demand spikes and risks to service delivery.</li><li>In CapX, ensure projects are scheduled appropriately and reflect the actual and planned load of the service and its resources.</li><li>Ensure all assigned resources are allocated to planned work so their availability is appropriately shown in CapX reporting.</li><li>Actively maintain data and reporting in GitHub and CapX to demonstrate competence.</li></ol>"|5
